epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7580571174621582,0.6103569865226746,0.7244239449501038,0.70960932970047,0.0010000000474974513
2,0.8308011293411255,0.43877655267715454,0.7843317985534668,0.5295645594596863,0.0010000000474974513
3,0.8598066568374634,0.36683905124664307,0.8221198320388794,0.47116899490356445,0.0010000000474974513
4,0.8644106984138489,0.3484668731689453,0.8341013789176941,0.4094183146953583,0.0010000000474974513
5,0.8726979494094849,0.3377631902694702,0.8488479256629944,0.38575372099876404,0.0010000000474974513
6,0.875920832157135,0.31548553705215454,0.8451613187789917,0.36800697445869446,0.0010000000474974513
7,0.886049747467041,0.30274248123168945,0.85161292552948,0.3664427399635315,0.0010000000474974513
8,0.8881215453147888,0.29068222641944885,0.8497695922851562,0.3688766658306122,0.0010000000474974513
9,0.8881215453147888,0.2845417857170105,0.8460829257965088,0.39548584818840027,0.0010000000474974513
10,0.9019337296485901,0.26109907031059265,0.8589861989021301,0.3486446440219879,0.0005000000237487257
11,0.9023941159248352,0.24635203182697296,0.8755760192871094,0.32419490814208984,0.0005000000237487257
12,0.9021639227867126,0.24476677179336548,0.8709677457809448,0.3148711621761322,0.0005000000237487257
13,0.9113720059394836,0.23229804635047913,0.8580645322799683,0.3773486018180847,0.0005000000237487257
14,0.9143646359443665,0.22883398830890656,0.8682027459144592,0.3312729001045227,0.0005000000237487257
15,0.9150552749633789,0.2172916978597641,0.8654378056526184,0.3304676115512848,0.0002500000118743628
