epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.6970534324645996,0.7560616135597229,0.41290321946144104,3.117157459259033,0.0010000000474974513
2,0.7589778900146484,0.6058659553527832,0.4073732793331146,5.38449764251709,0.0010000000474974513
3,0.7983425259590149,0.5159927606582642,0.35944700241088867,4.002053260803223,0.0010000000474974513
4,0.840239405632019,0.42019590735435486,0.5133640766143799,2.142317056655884,0.0005000000237487257
5,0.8526703715324402,0.37824052572250366,0.6728110313415527,1.1419514417648315,0.0005000000237487257
6,0.8637200593948364,0.3608008027076721,0.6543778777122498,1.3822625875473022,0.0005000000237487257
7,0.8756905794143677,0.3399941027164459,0.652534544467926,1.058942198753357,0.0005000000237487257
8,0.8807550668716431,0.3169892132282257,0.5382488369941711,1.3144967555999756,0.0005000000237487257
9,0.8897329568862915,0.3081669211387634,0.7142857313156128,1.1341969966888428,0.0005000000237487257
10,0.894336998462677,0.2739968001842499,0.7327188849449158,0.6849731206893921,0.0002500000118743628
11,0.9035451412200928,0.26115334033966064,0.7926267385482788,0.4857545495033264,0.0002500000118743628
12,0.909760594367981,0.24692769348621368,0.8304147720336914,0.46700266003608704,0.0002500000118743628
13,0.9120625853538513,0.23932494223117828,0.7281106114387512,0.7766109704971313,0.0002500000118743628
14,0.920810341835022,0.21871481835842133,0.8258064389228821,0.41910025477409363,0.0002500000118743628
15,0.9258747696876526,0.2127619832754135,0.7142857313156128,0.7574078440666199,0.0002500000118743628
16,0.9267956018447876,0.20326539874076843,0.7705069184303284,0.6932990550994873,0.0002500000118743628
17,0.9410681128501892,0.1811034381389618,0.8451613187789917,0.41692256927490234,0.0001250000059371814
18,0.9463627934455872,0.15904735028743744,0.7327188849449158,0.7387667298316956,0.0001250000059371814
19,0.9442909955978394,0.15218155086040497,0.9013825058937073,0.2816595137119293,0.0001250000059371814
20,0.9426795840263367,0.1554671972990036,0.8811060190200806,0.29962965846061707,0.0001250000059371814
21,0.9486648440361023,0.1446150541305542,0.913364052772522,0.24506334960460663,0.0001250000059371814
22,0.9525782465934753,0.14088945090770721,0.8073732852935791,0.5356600284576416,0.0001250000059371814
23,0.9569520950317383,0.1321980357170105,0.808294951915741,0.48291274905204773,0.0001250000059371814
24,0.959484338760376,0.1152338832616806,0.8571428656578064,0.37027251720428467,6.25000029685907e-05
25,0.9617863893508911,0.11672569066286087,0.8626728057861328,0.372864305973053,6.25000029685907e-05
26,0.9608655571937561,0.11155281960964203,0.8663594722747803,0.3502330183982849,3.125000148429535e-05
