relative_path,label_name,label_id,source_split,processed_split,sha256
data/raw/Training/glioma/Tr-gl_1.jpg,glioma,0,Training,train,5ac3fbd85891bf49b4c337ea49d7f382698f960c046a3db1de408a9b2998621a
data/raw/Training/glioma/Tr-gl_10.jpg,glioma,0,Training,train,1941099deff1ed62185051bc1eb912abc87af9ff403390ad9b1e2fbfe44a0fef
data/raw/Training/glioma/Tr-gl_1001.jpg,glioma,0,Training,train,48a0ad607d04b380ae7c8a40558677f63351ea6696b706cf6d117a515ad18785
data/raw/Training/glioma/Tr-gl_1002.jpg,glioma,0,Training,train,dd00d89233f404ed4f8b4787b151a68befd2cc3efe5da630c130d28cdb991d3a
data/raw/Training/glioma/Tr-gl_1003.jpg,glioma,0,Training,train,97aa04dc24789b81bcb1abdbbb96b37ca971252079a9dac50b44318181fed893
data/raw/Training/glioma/Tr-gl_1004.jpg,glioma,0,Training,train,db97040f6fe73fde4a7953a76fb1ba1d59debfe73e53c63c9763e36d2c0abf39
data/raw/Training/glioma/Tr-gl_1007.jpg,glioma,0,Training,train,ac351c84fb6bd5058eebe90141c50bf043c4b327b51f4e434de9ef9284c3ded9
data/raw/Training/glioma/Tr-gl_1009.jpg,glioma,0,Training,train,ff0d52dc161d0c27cfdf15b01f5ed17022df5797e04af474f06c2048cd69d966
data/raw/Training/glioma/Tr-gl_101.jpg,glioma,0,Training,train,f13f0f0e1738bf114dcfb9237a5847c826660de43b4ae35f06bee755610d3359
data/raw/Training/glioma/Tr-gl_1010.jpg,glioma,0,Training,train,96bf92fdb9d4fabd1c5a4a68843b5d733d751910730c99ab72889d4e5fafd135
data/raw/Training/glioma/Tr-gl_1012.jpg,glioma,0,Training,train,5fd6c11c6382af6ea66a1e9c336616d2f38f2d00235dcac90018e6cf4e401364
data/raw/Training/glioma/Tr-gl_1013.jpg,glioma,0,Training,train,684a20ec59ebb6e76e9e0a256b0d5c4a8467f8787e2d0266841c6ced871e9d48
